Date,Ticker,predicted_return,confidence,signal
2024-12-20,ABBV,0.3165,1.0,Hold
2024-12-20,LOW,0.3165,1.0,Hold
2024-12-20,COST,0.1822,0.5757,Hold
2024-12-20,MSFT,0.3165,1.0,Hold
2024-12-20,CMCSA,0.3165,1.0,Hold
2024-12-20,BAC,0.3165,1.0,Hold
2024-12-20,GOOGL,0.3165,1.0,Hold
2024-12-20,COP,0.3165,1.0,Hold
2024-12-20,PFE,0.3165,1.0,Hold
2024-12-20,ABT,0.3165,1.0,Hold
2024-12-20,MRK,0.3165,1.0,Hold
2024-12-20,XOM,0.3165,1.0,Hold
2024-12-20,LLY,0.3165,1.0,Hold
2024-12-20,WFC,0.3165,1.0,Hold
2024-12-20,AAPL,0.3165,1.0,Hold
2024-12-20,AMD,0.3165,1.0,Hold
2024-12-20,MS,0.3165,1.0,Hold
2024-12-20,GS,0.1822,0.5757,Hold
2024-12-20,SBUX,0.3165,1.0,Hold
2024-12-20,PG,0.3165,1.0,Hold
2024-12-20,UNH,0.3165,1.0,Hold
2024-12-20,MDT,0.3165,1.0,Hold
2024-12-20,C,0.3165,1.0,Hold
2024-12-20,NKE,0.3165,1.0,Hold
2024-12-20,CVX,0.3165,1.0,Hold
2024-12-20,INTC,0.3165,1.0,Hold
2024-12-20,T,0.3165,1.0,Hold
2024-12-20,DIS,0.3165,1.0,Hold
2024-12-20,TGT,0.3165,1.0,Hold
2024-12-20,NVDA,0.1822,0.5757,Hold
2024-12-20,CVS,0.3165,1.0,Hold
2024-12-20,TMO,0.3165,1.0,Hold
2024-12-20,BLK,0.3165,1.0,Hold
2024-12-20,JNJ,0.3165,1.0,Hold
2024-12-20,WMT,0.1822,0.5757,Hold
2024-12-20,AMZN,0.3165,1.0,Hold
2024-12-20,NFLX,0.1822,0.5757,Hold
2024-12-20,AXP,0.1822,0.5757,Hold
2024-12-20,JPM,0.3165,1.0,Hold
2024-12-20,MCD,0.3165,1.0,Hold
2024-12-20,ORCL,0.1822,0.5757,Hold
2024-12-20,TSLA,0.1822,0.5757,Hold
2024-12-20,VZ,0.3165,1.0,Hold
2024-12-20,CRM,0.3165,1.0,Hold
2024-12-20,TFC,0.3165,1.0,Hold
2024-12-20,HD,0.3165,1.0,Hold
2024-12-20,META,0.1822,0.5757,Hold
2024-12-20,USB,0.3165,1.0,Hold
2024-12-20,SLB,0.3165,1.0,Hold
2024-12-20,EOG,0.3165,1.0,Hold
